,Mkt-RF,SMB,HML,RF
19720801,0.93,-0.33,-0.53,0.012
19720802,0.83,-0.33,-0.3,0.012
19720803,0.74,-0.45,-0.22,0.012
19720804,0.34,-0.08,-0.26,0.012
19720807,0.11,-0.15,-0.07,0.012
19720808,0.07,-0.26,-0.17,0.012
19720809,0.12,0.04,-0.03,0.012
19720810,0.22,0.02,0.06,0.012
19720811,0.82,-0.19,0.05,0.012
19720814,0.43,-0.22,0.4,0.012
19720815,-0.43,-0.02,0.65,0.012
19720816,-0.28,-0.2,0.71,0.012
19720817,-0.22,0,0.71,0.012
19720818,0.41,-0.14,0.25,0.012
19720821,-0.08,-0.27,0.79,0.012
19720822,0.5,-0.67,1,0.012
19720823,-0.15,0.05,0.41,0.012
19720824,-1.07,0.13,0.45,0.012
19720825,-0.27,-0.01,0.15,0.012
19720828,-0.47,-0.06,0.24,0.012
19720829,0.13,-0.34,0.08,0.012
19720830,0.13,-0.21,0.12,0.012
19720831,0.44,-0.2,-0.04,0.012
19720901,0.4,0.11,-0.13,0.017
19720905,-0.29,0.05,0.08,0.017
19720906,-0.6,-0.1,0.24,0.017
19720907,-0.34,-0.19,0.34,0.017
19720908,-0.14,-0.18,0.35,0.017
19720911,-0.69,-0.43,0.3,0.017
19720912,-0.95,-0.16,0.33,0.017
19720913,0.33,-0.14,-0.14,0.017
19720914,0.02,-0.04,-0.11,0.017
19720915,-0.1,-0.06,0.04,0.017
19720918,-0.2,-0.1,0.28,0.017
19720919,-0.06,-0.16,0.18,0.017
19720920,-0.06,-0.24,-0.21,0.017
19720921,-0.19,-0.13,-0.1,0.017
19720922,0.06,-0.15,0.22,0.017
19720925,-0.46,-0.13,0,0.017
19720926,0.09,-0.19,-0.13,0.017
19720927,1.38,-0.25,-0.65,0.017
19720928,0.6,-0.23,-0.42,0.017
19720929,0.11,0.02,-0.03,0.017
19721002,-0.32,-0.02,0.23,0.018
19721003,0.07,-0.39,0.07,0.018
19721004,-0.26,-0.62,0.72,0.018
19721005,-1.11,-0.12,0.63,0.018
19721006,0.63,-0.18,-0.21,0.018
19721009,0.22,0.16,-0.12,0.018
19721010,0.1,0.1,-0.03,0.018
19721011,-0.46,-0.21,0.13,0.018
19721012,-0.84,-0.14,0.41,0.018
19721013,-0.68,0.13,0.18,0.018
19721016,-1.05,0.23,0.17,0.018
19721017,0.6,-0.58,0.3,0.018
19721018,0.57,-0.29,-0.17,0.018
19721019,-0.12,-0.15,-0.1,0.018
19721020,1.02,-0.39,-0.24,0.018
19721023,0.95,-0.16,-0.16,0.018
19721024,0.31,-0.19,-0.12,0.018
19721025,-0.04,-0.05,0.11,0.018
19721026,0.34,0.11,-0.05,0.018
19721027,-0.29,0.31,-0.18,0.018
19721030,-0.04,-0.04,-0.07,0.018
19721031,0.94,-0.31,-0.24,0.018
19721101,1.02,-0.44,-0.04,0.019
19721102,0.47,-0.31,0.15,0.019
19721103,0.84,-0.16,0.16,0.019
19721106,-0.17,0.07,0.56,0.019
19721108,-0.49,0,0.43,0.019
19721109,0.06,-0.37,0.62,0.019
19721110,0.3,0.07,0.61,0.019
19721113,0.09,-0.31,0.39,0.019
19721114,0.83,-0.67,0.02,0.019
19721115,-0.34,0.21,-0.03,0.019
19721116,0.5,-0.24,0.05,0.019
19721117,0.31,0,0.3,0.019
19721120,0.01,0.06,0.33,0.019
19721121,0.46,-0.04,0.25,0.019
19721122,0.59,-0.06,0.27,0.019
19721124,0.27,-0.33,0.86,0.019
19721127,-0.38,0.04,0.23,0.019
19721128,-0.19,0.52,0.28,0.019
19721129,0.02,0.21,-0.19,0.019
19721130,0.26,0.59,-0.49,0.019
19721201,0.65,0.31,-0.2,0.02
19721204,0.31,0.31,-0.28,0.02
19721205,-0.21,-0.05,-0.05,0.02
19721206,0.32,0.17,-0.15,0.02
19721207,0.41,-0.19,-0.31,0.02
19721208,0.19,0.07,-0.69,0.02
19721211,0.19,-0.17,-0.2,0.02
19721212,-0.41,-0.33,0.18,0.02
19721213,-0.19,-0.54,0.1,0.02
19721214,-0.33,-0.31,0.08,0.02
19721215,0.05,-0.06,-0.27,0.02
19721218,-1.08,-0.04,-0.03,0.02
19721219,-0.41,-0.08,0.03,0.02
19721220,-0.36,-0.18,0.06,0.02
19721221,-0.66,0.13,0.05,0.02
19721222,0.54,-0.2,0.08,0.02
19721226,0.21,-0.44,0.09,0.02
19721227,0.4,-0.6,-0.17,0.02
19721229,1.09,0.26,-0.51,0.02
19730102,0.87,0.88,0,0.021
19730103,0.35,0.17,0.15,0.021
19730104,-0.23,0.13,0.15,0.021
19730105,0.3,0,-0.11,0.021
19730108,-0.03,-0.14,0.31,0.021
19730109,-0.09,-0.21,0.31,0.021
19730110,-0.26,-0.28,0.59,0.021
19730111,0.55,-0.53,0.08,0.021
19730112,-0.85,-0.43,0.09,0.021
